#dvd_title_id_f,title,release_date,award,label_id,sound_id,genre_id,rating_id,format_id
159,Another Day In Paradise,,,121,3,9,7,8
160,Another Day In Paradise: Special Edition,,,121,3,9,7,8
161,Another Man's Poison,,,55,7,21,4,4
162,"Antarctica, An Adventure: IMAX ",,,55,3,8,4,2
163,Anthill: Corroboree,,,23,1,15,4,2
164,Anthrax:Return Of The Killer B's Video Anthology,,,14,1,15,4,2
165,Antonia's Line,,,48,1,11,7,2
166,Antonio Gaudi,,,55,7,8,4,4
167,Antz,,,127,4,5,5,8
168,Antz: Special Edition,,,38,3,5,5,8
169,Ape/British Intelligence,,,108,1,13,4,2
170,Apocalypse ,,,112,1,19,7,2
171,Apocalypse Now,2010-01-01,,92,3,2,7,8
172,Apollo 13: Signature Collection ,,,127,4,9,5,8
173,Apostle:Special Edition,,,125,7,9,6,8
174,Apt Pupil,,,24,3,9,7,2
175,Aquaria,,,39,3,20,4,2
176,Arachnophobia,,,16,3,13,6,8
177,Area 88 Act #1: The Blue Skies of Betrayal,,,20,1,3,4,2
178,Arena (1973),,,86,1,2,7,2
179,Aretha Franklin: Live At Park West,,,55,1,15,4,2
180,Aria,,,55,1,15,4,8
181,Arlington Road: Special Edition,,,24,3,21,7,2
182,Armageddon,,,16,3,2,6,8
183,Armageddon: Special Edition,,,16,3,2,6,2
184,Armitage 3: Poly-Matrix ,,,95,1,3,4,2
185,Armstrong,,,55,1,2,7,4
186,Army of Darkness ,,,127,1,19,7,8
187,Army Of Darkness: Special Edition,,,11,3,13,7,2
188,Army Of One,,,13,1,2,7,2
189,"Arnold Promotion 4 Pack: Predator, Commando, Running Man, Total Recall ",,,124,1,2,7,2
190,Around the World in 80 days,,,55,1,5,4,2
191,Arrival,,,13,3,19,7,2
192,Arrival 2,,,13,3,19,7,2
193,Art & Jazz In Animation:  John & Faith Hubley,,,55,1,20,4,2
194,Art Davis: A Time Remembered,,,23,1,15,4,2
195,Art of Fighting ,,,55,1,3,4,2
196,"Art of Illusion: 100 Years of Hollywood Special Effects, The ",,,112,1,8,4,2
197,Art of Nature ,,,55,1,20,4,2
198,Art Pepper:Notes From A Jazz Survivor,,,110,1,15,4,2
199,Arthur ,,,134,1,7,5,2
200,As Good As It Gets: Special Edition ,,,24,1,7,6,2
201,As You Like It,,,55,1,7,4,2
202,Asas de Portugal,,,95,1,8,4,2
203,Ashes of Time ,,,139,1,11,4,2
204,Asphyx ,,,7,1,13,5,8
205,Assassin,,,112,1,19,4,2
206,Assassin (1986)/Guinevere,1999-12-27,,112,1,19,4,2
207,Assassins ,,,134,1,21,7,2
208,Assault of the Killer Bimbos ,,,50,1,7,7,2
209,Assault on Precinct 13: Special Edition ,,,55,1,2,7,8
210,"Assault, The ",,,55,1,2,7,2
211,"Assignment, The ",,,24,1,21,7,2
212,Associate,,,16,3,7,6,8
213,Asteroid ,,,13,1,9,4,2
214,Astronomy #1:The Standard Deviants,,,21,1,20,4,2
215,At First Sight,,,134,1,9,6,2
216,At War With the Army ,,,30,1,6,4,2
217,Atomic Submarine ,,,55,1,19,4,2
218,Atomic Train,,,121,1,2,6,2
219,Auditions From Beyond,1999-11-22,,8,1,20,4,2
220,Austin Powers: International Man of Mystery (Platinum Series),,,87,1,7,6,2
221,Austin Powers:The Spy Who Shagged Me: Special Edition,,,87,1,7,6,8
222,Autumn Sonata: Special Edition,,,26,7,11,4,8
223,Avengers '65 Set #1:Vol. 1,,,3,1,22,4,2
224,Avengers '65 Set #1:Vol. 1 & 2,,,3,1,22,4,2
225,Avengers '65 Set #1:Vol. 2,,,3,1,22,4,2
226,Avengers '65 Set #2:Vol. 3,,,3,1,22,4,2
227,Avengers '65 Set #2:Vol. 3 & 4,,,3,1,22,4,2
228,Avengers '65 Set #2:Vol. 4,,,3,1,22,4,2
229,Avengers '66 Set #1:Vol. 1,,,3,1,22,4,2
230,Avengers '66 Set #1:Vol. 1 & 2,,,3,1,22,4,2
231,Avengers '66 Set #1:Vol. 2,,,3,1,22,4,2
232,Avengers '66 Set #2:Vol. 3,,,3,1,22,4,2
233,Avengers '66 Set #2:Vol. 3 & 4,,,3,1,22,4,2
234,Avengers '66 Set #2:Vol. 4,,,3,1,22,4,2
235,Avengers '67 Set #1: Vol. 1,,,3,1,22,4,2
236,Avengers '67 Set #1: Vol. 2,,,3,1,22,4,2
237,Avengers '67 Set #2: Vol. 1,,,3,1,22,4,2
238,Avengers '67 Set #2: Vol. 1 & 2 (Boxed Set),,,3,1,22,4,2
239,Avengers '67 Set #2: Vol. 2,,,3,1,22,4,2
240,Avengers '67 Set #3: Vol. 1,,,3,1,22,4,2
241,Avengers '67 Set #3: Vol. 1 & 2 (Boxed Set),,,3,1,22,4,2
242,Avengers '67 Set #3: Vol. 2,,,3,1,22,4,2
243,Avengers '67 Set #4: Vol. 1,,,3,1,22,4,2
244,Avengers '67 Set #4: Vol. 1 & 2 (Boxed Set),,,3,1,22,4,2
245,Avengers '67 Set #4: Vol. 2,,,3,1,22,4,2
246,Avengers '67 Set#1: Vol. 1 & 2 (Boxed Set),,,3,1,22,4,2
247,"Avengers, The ",,,134,3,2,6,2
248,Avia Guide To Home Theater,,,55,1,20,4,2
249,Aviator's Wife,,,48,1,11,5,2
250,Awakening Of Gabriella,,,55,1,9,4,4
251,Awakenings ,,,24,1,9,6,8
252,Away All Boats,,,52,1,9,4,4
253,Ayane's High Kick ,,,20,1,3,4,2
254,Ayn Rand:A Sense Of Life,,,55,1,8,4,8
255,B.B. King: Live in Africa ,,,95,1,15,4,2
256,Baaba Maal:Live At The Royal Festival Hall,,,109,2,15,4,2
257,"Babar, King Of The Elephants (DVD)",,,53,7,3,2,2
258,Babe ,,,127,4,5,2,2
259,Babe: Pig In The City,,,127,3,5,5,2
260,Babel II ,,,55,1,3,4,2
261,Baby (1973),,,55,7,13,5,4
262,Baby Geniuses,,,24,3,2,5,4
263,Babysitter's Seduction,,,112,1,21,4,2
264,Babysitter's Seduction/Those Bedroom Eyes,,,112,1,21,4,2
265,"Bach: His Music, His Life ",,,73,1,15,4,2
266,Backdraft ,,,127,1,9,7,8
267,Backstreet Boys ,2010-01-01,,14,1,15,4,4
268,Backstreet Boys: Backstreet Stories,,,83,1,15,4,2
269,Bad Boys ,,,24,1,2,7,8
270,Bad Boys (1983),,,13,1,9,7,8
271,Bad Lieutenant ,,,13,1,9,3,8
272,Bad Love,,,55,1,21,7,2
273,Bad Man's River ,,,71,1,11,5,2
274,Bad Pack,,,145,1,2,7,2
275,Badfinger ,,,95,1,1,4,2
276,Badlands,,,134,3,9,5,2
277,Baker's Hawk ,,,126,1,23,2,2
278,Ball of Fire ,,,53,1,6,4,2
279,Bandit Queen,,,95,7,11,4,4
280,Barb Wire,,,99,3,19,4,2
281,Barbarella,,,92,1,19,5,8
282,Barber Of Seville:Rossini:Netherlands Opera,,,55,1,15,4,4
283,Barefoot Gen,,,55,1,3,4,2
284,Barefoot In The Park,,,92,3,7,2,8
285,"Barker's Salome/The Forbidden, Clive ",,,55,1,13,4,2
286,Barney's Night Before Christmas:Xmas,,,66,1,5,4,2
287,Barney:Let's Play School,,,66,1,5,4,2
288,Baron Blood,,,55,1,13,7,8
289,Barry Lyndon,,,134,1,9,5,8
290,Bartok The Magnificent,,,124,7,3,2,2
291,Base,,,117,1,2,7,2
292,BASEketball,,,127,1,7,7,8
293,Basic Instinct ,,,63,1,21,7,2
294,Basic Math: The Standard Deviants,,,21,1,20,4,2
295,"Basile Quartet, John : The Desmond Project",,,22,1,15,4,2
296,Basket Case ,,,55,1,13,4,2
297,"Basketball Diaries, The ",,,99,3,9,7,2
298,Bat 21 ,,,112,1,9,4,2
299,Bat Whispers,1999-11-29,,55,7,21,4,2
300,Bataan,,,134,1,9,4,2
301,Batman ,,,134,1,2,6,2
302,Batman & Robin ,,,134,1,2,6,2
303,Batman Beyond:The Movie,,,134,7,3,4,2
304,Batman Forever ,,,134,1,2,6,2
305,Batman Returns ,,,134,1,2,6,2
306,Batman:Mask Of The Phantasm ,,,134,7,3,5,2
307,Batteries Not Included,,,127,3,7,5,8
308,Battle Angel,,,4,1,3,4,2
309,Battle Arena Toshinden ,,,20,1,3,4,2
310,Battle Athletes #1: On Your Mark,,,95,1,3,4,2
311,Battle Athletes #2: Ready…,,,95,1,3,4,2
312,Battle Athletes #3: Go!,,,95,1,3,4,2
313,Battle Athletes Victory #1: Training,,,95,1,3,4,2
314,Battle Athletes Victory #2: Conflict,,,95,1,3,4,2
315,Battle Athletes Victory #3: Tragedy & Triumph ,,,95,1,3,4,2
316,Battle Athletes Victory #4: Spaceward Ho!,,,95,1,3,6,2
317,Battle Athletes Victory #5:No Looking Back,,,95,1,3,4,2
318,Battle Athletes Victory #6:Willpower,,,95,7,3,4,2
319,Battle Athletes Victory #7:The Last Dance,,,95,7,3,4,2
320,Battle Athletes Victory #8:The Human Race!,,,95,7,3,4,2
321,Battle of the Bulge: WWII's Deadliest Battle ,,,110,1,1,4,2
322,Battlecade:Extreme Fighting #1,,,55,1,20,4,2
323,Battlecade:Extreme Fighting #2,,,55,1,20,4,2
324,Battles of the World ,,,10,1,20,4,2
325,Battleship Potemkin ,,,55,1,11,4,2
326,Battlestar Galactica,,,127,1,19,5,8
327,Battling Beauties: Adult Party Pack #1,,,68,1,20,4,2
328,Battling Butler (Silent),,,55,1,7,4,4
329,Bay Of Blood,2010-01-01,,112,3,13,7,2
330,Baywatch: Nightmare Bay/River of No Return,,,95,1,22,4,2
331,Beach Boys: Nashville Sounds: The Making of Stars & Stripes ,,,55,1,15,4,2
332,Beach Boys: The Lost Concert,,,55,1,15,4,2
333,Beach Girls/Pom Pom Girls,,,107,7,7,7,2
334,Beany & Cecil: Special Edition,,,55,1,3,4,4
335,Bears & I,,,11,1,5,2,2
336,Beast Cops,,,120,1,11,4,8
337,Beast Wars ,2010-01-01,,120,1,11,4,2
